Date,Commodity,Market Region,Price per Unit (LKR/kg)
2/27/2020,Manioc,Colombo,77.14
3/5/2020,Winged Bean,Colombo,162.7
3/5/2020,Bitter Melon,Colombo,286.95
3/5/2020,Brinjal,Colombo,199.21
3/5/2020,Long Purple Eggplant,Colombo,266.03
3/5/2020,Asiatic Pennywort,Colombo,135.63
3/5/2020,Red Spinach,Colombo,94.18
3/5/2020,Pennywort,Colombo,358.74
3/5/2020,Leeks,Colombo,375.55
3/5/2020,Carrot,Colombo,381.29
3/5/2020,Beetroot,Colombo,321.37
3/5/2020,Cabbage,Colombo,418.51
3/5/2020,Knol-Khol,Colombo,219.84
3/5/2020,Pumpkin,Colombo,106.8
3/5/2020,Onion,Colombo,220.62
3/5/2020,Potato,Colombo,397.88
3/5/2020,Drumsticks,Colombo,356.23
3/5/2020,Jackfruit,Colombo,249.35
3/5/2020,Breadfruit,Colombo,443.75
3/5/2020,Taro,Colombo,361.91
3/5/2020,Manioc,Colombo,144.28
3/12/2020,Winged Bean,Colombo,298.15
3/12/2020,Bitter Melon,Colombo,387.58
3/12/2020,Brinjal,Colombo,472.84
3/12/2020,Long Purple Eggplant,Colombo,127.75
3/12/2020,Asiatic Pennywort,Colombo,263.06
3/12/2020,Red Spinach,Colombo,185.51
3/12/2020,Pennywort,Colombo,107.43
3/12/2020,Leeks,Colombo,255.71
3/12/2020,Carrot,Colombo,94.15
3/12/2020,Beetroot,Colombo,337.61
3/12/2020,Cabbage,Colombo,175.73
3/12/2020,Knol-Khol,Colombo,167.69
3/12/2020,Pumpkin,Colombo,486.84
3/12/2020,Onion,Colombo,118.96
3/12/2020,Potato,Colombo,409.34
3/12/2020,Drumsticks,Colombo,266.92
3/12/2020,Jackfruit,Colombo,89.24
3/12/2020,Breadfruit,Colombo,300.34
3/12/2020,Taro,Colombo,71.17
3/12/2020,Manioc,Colombo,110.18
3/19/2020,Winged Bean,Colombo,150.52
3/19/2020,Bitter Melon,Colombo,276.53
3/19/2020,Brinjal,Colombo,393.29
3/19/2020,Long Purple Eggplant,Colombo,359.36
3/19/2020,Asiatic Pennywort,Colombo,118.76
3/19/2020,Red Spinach,Colombo,497.7
3/19/2020,Pennywort,Colombo,414.11
3/19/2020,Leeks,Colombo,337.8
3/19/2020,Carrot,Colombo,148.06
3/19/2020,Beetroot,Colombo,138.94
3/19/2020,Cabbage,Colombo,250.68
3/19/2020,Knol-Khol,Colombo,407.91
3/19/2020,Pumpkin,Colombo,180.64
3/19/2020,Onion,Colombo,446.74
3/19/2020,Potato,Colombo,57.22
3/19/2020,Drumsticks,Colombo,95.9
3/19/2020,Jackfruit,Colombo,53.27
3/19/2020,Breadfruit,Colombo,342.08
3/19/2020,Taro,Colombo,273.69
3/19/2020,Manioc,Colombo,306.35
3/26/2020,Winged Bean,Colombo,373.33
3/26/2020,Bitter Melon,Colombo,188.46
3/26/2020,Brinjal,Colombo,205.69
3/26/2020,Long Purple Eggplant,Colombo,140.22
3/26/2020,Asiatic Pennywort,Colombo,478.44
3/26/2020,Red Spinach,Colombo,258.91
3/26/2020,Pennywort,Colombo,319.12
3/26/2020,Leeks,Colombo,247.44
3/26/2020,Carrot,Colombo,257.7
3/26/2020,Beetroot,Colombo,244.81
3/26/2020,Cabbage,Colombo,299.85
3/26/2020,Knol-Khol,Colombo,187.55
3/26/2020,Pumpkin,Colombo,60.27
3/26/2020,Onion,Colombo,270.78
3/26/2020,Potato,Colombo,137.83
3/26/2020,Drumsticks,Colombo,93.7
3/26/2020,Jackfruit,Colombo,417.99
3/26/2020,Breadfruit,Colombo,174.51
3/26/2020,Taro,Colombo,280.9
3/26/2020,Manioc,Colombo,107.95
4/2/2020,Winged Bean,Colombo,224.53
4/2/2020,Bitter Melon,Colombo,137.83
4/2/2020,Brinjal,Colombo,183.6
4/2/2020,Long Purple Eggplant,Colombo,412.61
4/2/2020,Asiatic Pennywort,Colombo,196.64
4/2/2020,Red Spinach,Colombo,221.93
4/2/2020,Pennywort,Colombo,62.1
4/2/2020,Leeks,Colombo,461.49
4/2/2020,Carrot,Colombo,224.45
4/2/2020,Beetroot,Colombo,458.76
4/2/2020,Cabbage,Colombo,400.21
4/2/2020,Knol-Khol,Colombo,418.8
4/2/2020,Pumpkin,Colombo,229.48
4/2/2020,Onion,Colombo,476.33
4/2/2020,Potato,Colombo,65.8
4/2/2020,Drumsticks,Colombo,439.11
4/2/2020,Jackfruit,Colombo,170.91
4/2/2020,Breadfruit,Colombo,186.91
4/2/2020,Taro,Colombo,161.85
4/2/2020,Manioc,Colombo,241.76
4/9/2020,Winged Bean,Colombo,418.07
4/9/2020,Bitter Melon,Colombo,339.83
4/9/2020,Brinjal,Colombo,152.93
4/9/2020,Long Purple Eggplant,Colombo,344.84
4/9/2020,Asiatic Pennywort,Colombo,492.04
4/9/2020,Red Spinach,Colombo,309.71
4/9/2020,Pennywort,Colombo,270.14
4/9/2020,Leeks,Colombo,139.81
4/9/2020,Carrot,Colombo,395.86
4/9/2020,Beetroot,Colombo,200.33
4/9/2020,Cabbage,Colombo,313.86
4/9/2020,Knol-Khol,Colombo,436.05
4/9/2020,Pumpkin,Colombo,314.24
4/9/2020,Onion,Colombo,266.22
4/9/2020,Potato,Colombo,236.48
4/9/2020,Drumsticks,Colombo,65.81
4/9/2020,Jackfruit,Colombo,347.7
4/9/2020,Breadfruit,Colombo,130.16
4/9/2020,Taro,Colombo,86.89
4/9/2020,Manioc,Colombo,145.41
4/16/2020,Winged Bean,Colombo,458.7
4/16/2020,Bitter Melon,Colombo,420.79
4/16/2020,Brinjal,Colombo,212.58
4/16/2020,Long Purple Eggplant,Colombo,462.81
4/16/2020,Asiatic Pennywort,Colombo,285.68
4/16/2020,Red Spinach,Colombo,146.22
4/16/2020,Pennywort,Colombo,149.14
4/16/2020,Leeks,Colombo,129.83
4/16/2020,Carrot,Colombo,406.48
4/16/2020,Beetroot,Colombo,153.29
4/16/2020,Cabbage,Colombo,52.64
4/16/2020,Knol-Khol,Colombo,139.06
4/16/2020,Pumpkin,Colombo,416.13
4/16/2020,Onion,Colombo,172.45
4/16/2020,Potato,Colombo,155.7
4/16/2020,Drumsticks,Colombo,151.31
4/16/2020,Jackfruit,Colombo,477.49
4/16/2020,Breadfruit,Colombo,147.57
4/16/2020,Taro,Colombo,379.32
4/16/2020,Manioc,Colombo,50.34
4/23/2020,Winged Bean,Colombo,87.02
4/23/2020,Bitter Melon,Colombo,174.99
4/23/2020,Brinjal,Colombo,310.69
4/23/2020,Long Purple Eggplant,Colombo,217.06
4/23/2020,Asiatic Pennywort,Colombo,167.14
4/23/2020,Red Spinach,Colombo,483.02
4/23/2020,Pennywort,Colombo,385.34
4/23/2020,Leeks,Colombo,341.02
4/23/2020,Carrot,Colombo,112.26
4/23/2020,Beetroot,Colombo,112.18
4/23/2020,Cabbage,Colombo,97.92
4/23/2020,Knol-Khol,Colombo,441.09
4/23/2020,Pumpkin,Colombo,298.54
4/23/2020,Onion,Colombo,343
4/23/2020,Potato,Colombo,54.75
4/23/2020,Drumsticks,Colombo,241.12
4/23/2020,Jackfruit,Colombo,206.53
4/23/2020,Breadfruit,Colombo,460.49
4/23/2020,Taro,Colombo,380.45
4/23/2020,Manioc,Colombo,453.73
4/30/2020,Winged Bean,Colombo,97.3
4/30/2020,Bitter Melon,Colombo,427.76
4/30/2020,Brinjal,Colombo,277.45
4/30/2020,Long Purple Eggplant,Colombo,187.18
4/30/2020,Asiatic Pennywort,Colombo,455.89
4/30/2020,Red Spinach,Colombo,152.93
4/30/2020,Pennywort,Colombo,443.89
4/30/2020,Leeks,Colombo,242.63
4/30/2020,Carrot,Colombo,216.45
4/30/2020,Beetroot,Colombo,310.34
4/30/2020,Cabbage,Colombo,335.77
4/30/2020,Knol-Khol,Colombo,72.53
4/30/2020,Pumpkin,Colombo,126.14
4/30/2020,Onion,Colombo,54.29
4/30/2020,Potato,Colombo,112.97
4/30/2020,Drumsticks,Colombo,141.16
4/30/2020,Jackfruit,Colombo,258.57
4/30/2020,Breadfruit,Colombo,382.51
4/30/2020,Taro,Colombo,127.47
4/30/2020,Manioc,Colombo,187.61
5/7/2020,Winged Bean,Colombo,469.71
5/7/2020,Bitter Melon,Colombo,382.76
5/7/2020,Brinjal,Colombo,487.61
5/7/2020,Long Purple Eggplant,Colombo,266.27
5/7/2020,Asiatic Pennywort,Colombo,433.71
5/7/2020,Red Spinach,Colombo,140.18
5/7/2020,Pennywort,Colombo,178.6
5/7/2020,Leeks,Colombo,67.69
5/7/2020,Carrot,Colombo,458.42
5/7/2020,Beetroot,Colombo,495.07
5/7/2020,Cabbage,Colombo,124.08
5/7/2020,Knol-Khol,Colombo,191.45
5/7/2020,Pumpkin,Colombo,333.13
5/7/2020,Onion,Colombo,234.32
5/7/2020,Potato,Colombo,259.09
5/7/2020,Drumsticks,Colombo,470.24
5/7/2020,Jackfruit,Colombo,437.02
5/7/2020,Breadfruit,Colombo,271.43
5/7/2020,Taro,Colombo,313.27
5/7/2020,Manioc,Colombo,412.47
5/14/2020,Winged Bean,Colombo,434.73
5/14/2020,Bitter Melon,Colombo,219.69
5/14/2020,Brinjal,Colombo,445.94
5/14/2020,Long Purple Eggplant,Colombo,85.91
5/14/2020,Asiatic Pennywort,Colombo,165.46
5/14/2020,Red Spinach,Colombo,89.09
5/14/2020,Pennywort,Colombo,66.35
5/14/2020,Leeks,Colombo,249.6
5/14/2020,Carrot,Colombo,397.88
5/14/2020,Beetroot,Colombo,240.47
5/14/2020,Cabbage,Colombo,162.4
5/14/2020,Knol-Khol,Colombo,376.05
5/14/2020,Pumpkin,Colombo,81.86
5/14/2020,Onion,Colombo,176.98
5/14/2020,Potato,Colombo,133.43
5/14/2020,Drumsticks,Colombo,154.62
5/14/2020,Jackfruit,Colombo,456.8
5/14/2020,Breadfruit,Colombo,415.35
5/14/2020,Taro,Colombo,114.92
5/14/2020,Manioc,Colombo,132.06
5/21/2020,Winged Bean,Colombo,81.84
5/21/2020,Bitter Melon,Colombo,289.74
5/21/2020,Brinjal,Colombo,116.68
5/21/2020,Long Purple Eggplant,Colombo,231.9
5/21/2020,Asiatic Pennywort,Colombo,398.91
5/21/2020,Red Spinach,Colombo,388.42
5/21/2020,Pennywort,Colombo,462.4
5/21/2020,Leeks,Colombo,385.45
5/21/2020,Carrot,Colombo,151.17
5/21/2020,Beetroot,Colombo,369.68
5/21/2020,Cabbage,Colombo,221.36
5/21/2020,Knol-Khol,Colombo,213.69
5/21/2020,Pumpkin,Colombo,320.02
5/21/2020,Onion,Colombo,174.05
5/21/2020,Potato,Colombo,444.48
5/21/2020,Drumsticks,Colombo,411.58
5/21/2020,Jackfruit,Colombo,139.29
5/21/2020,Breadfruit,Colombo,221.37
5/21/2020,Taro,Colombo,386.3
5/21/2020,Manioc,Colombo,252.67
5/28/2020,Winged Bean,Colombo,166.02
5/28/2020,Bitter Melon,Colombo,252.38
5/28/2020,Brinjal,Colombo,327.89
5/28/2020,Long Purple Eggplant,Colombo,235.86
5/28/2020,Asiatic Pennywort,Colombo,77.71
5/28/2020,Red Spinach,Colombo,340.42
5/28/2020,Pennywort,Colombo,150.22
5/28/2020,Leeks,Colombo,357.22
5/28/2020,Carrot,Colombo,349.13
5/28/2020,Beetroot,Colombo,248.8
5/28/2020,Cabbage,Colombo,422.01
5/28/2020,Knol-Khol,Colombo,149.09
5/28/2020,Pumpkin,Colombo,465.47
5/28/2020,Onion,Colombo,388.93
5/28/2020,Potato,Colombo,345.67
5/28/2020,Drumsticks,Colombo,478.74
5/28/2020,Jackfruit,Colombo,448.18
5/28/2020,Breadfruit,Colombo,236.02
5/28/2020,Taro,Colombo,469.37
5/28/2020,Manioc,Colombo,91.97
6/4/2020,Winged Bean,Colombo,337.69
6/4/2020,Bitter Melon,Colombo,319.67
6/4/2020,Brinjal,Colombo,478.73
6/4/2020,Long Purple Eggplant,Colombo,363.62
6/4/2020,Asiatic Pennywort,Colombo,243.48
6/4/2020,Red Spinach,Colombo,397.71
6/4/2020,Pennywort,Colombo,280.79
6/4/2020,Leeks,Colombo,127.04
6/4/2020,Carrot,Colombo,366.21
6/4/2020,Beetroot,Colombo,282.81
6/4/2020,Cabbage,Colombo,85.1
6/4/2020,Knol-Khol,Colombo,267.02
6/4/2020,Pumpkin,Colombo,227.39
6/4/2020,Onion,Colombo,133.38
6/4/2020,Potato,Colombo,274.73
6/4/2020,Drumsticks,Colombo,482.43
6/4/2020,Jackfruit,Colombo,439.94
6/4/2020,Breadfruit,Colombo,52.88
6/4/2020,Taro,Colombo,483.29
6/4/2020,Manioc,Colombo,355.88
6/11/2020,Winged Bean,Colombo,69.51
6/11/2020,Bitter Melon,Colombo,183.4
6/11/2020,Brinjal,Colombo,356.33
6/11/2020,Long Purple Eggplant,Colombo,368.65
6/11/2020,Asiatic Pennywort,Colombo,288.95
6/11/2020,Red Spinach,Colombo,395.1
6/11/2020,Pennywort,Colombo,387.87
6/11/2020,Leeks,Colombo,121.49
6/11/2020,Carrot,Colombo,178.74
6/11/2020,Beetroot,Colombo,458.93
6/11/2020,Cabbage,Colombo,311.43
6/11/2020,Knol-Khol,Colombo,442.18
6/11/2020,Pumpkin,Colombo,382.87
6/11/2020,Onion,Colombo,313.77
6/11/2020,Potato,Colombo,162.85
6/11/2020,Drumsticks,Colombo,280.45
6/11/2020,Jackfruit,Colombo,429.56
6/11/2020,Breadfruit,Colombo,443.29
6/11/2020,Taro,Colombo,378.16
6/11/2020,Manioc,Colombo,359.1
6/18/2020,Winged Bean,Colombo,158.87
6/18/2020,Bitter Melon,Colombo,222.25
6/18/2020,Brinjal,Colombo,120.09
6/18/2020,Long Purple Eggplant,Colombo,441.05
6/18/2020,Asiatic Pennywort,Colombo,434.59
6/18/2020,Red Spinach,Colombo,352.06
6/18/2020,Pennywort,Colombo,120.12
6/18/2020,Leeks,Colombo,266.53
6/18/2020,Carrot,Colombo,256.49
6/18/2020,Beetroot,Colombo,83.62
6/18/2020,Cabbage,Colombo,377.41
6/18/2020,Knol-Khol,Colombo,332.29
6/18/2020,Pumpkin,Colombo,315.6
6/18/2020,Onion,Colombo,268.79
6/18/2020,Potato,Colombo,242.03
6/18/2020,Drumsticks,Colombo,464.07
6/18/2020,Jackfruit,Colombo,468.76
6/18/2020,Breadfruit,Colombo,196.11
6/18/2020,Taro,Colombo,364.59
6/18/2020,Manioc,Colombo,446.35
6/25/2020,Winged Bean,Colombo,381.26
6/25/2020,Bitter Melon,Colombo,431.12
6/25/2020,Brinjal,Colombo,288.98
6/25/2020,Long Purple Eggplant,Colombo,314.44
6/25/2020,Asiatic Pennywort,Colombo,255.94
6/25/2020,Red Spinach,Colombo,456.26
6/25/2020,Pennywort,Colombo,345.7
6/25/2020,Leeks,Colombo,335.18
6/25/2020,Carrot,Colombo,142.4
6/25/2020,Beetroot,Colombo,200.18
6/25/2020,Cabbage,Colombo,485.22
6/25/2020,Knol-Khol,Colombo,452.68
6/25/2020,Pumpkin,Colombo,441.66
6/25/2020,Onion,Colombo,254.19
6/25/2020,Potato,Colombo,436.7
6/25/2020,Drumsticks,Colombo,155.87
6/25/2020,Jackfruit,Colombo,172.88
6/25/2020,Breadfruit,Colombo,151.12
6/25/2020,Taro,Colombo,261.52
6/25/2020,Manioc,Colombo,384.35
7/2/2020,Winged Bean,Colombo,277.01
7/2/2020,Bitter Melon,Colombo,446.52
7/2/2020,Brinjal,Colombo,336.71
7/2/2020,Long Purple Eggplant,Colombo,177.87
7/2/2020,Asiatic Pennywort,Colombo,415.43
7/2/2020,Red Spinach,Colombo,458.25
7/2/2020,Pennywort,Colombo,203.22
7/2/2020,Leeks,Colombo,469.89
7/2/2020,Carrot,Colombo,325.58
7/2/2020,Beetroot,Colombo,344.22
7/2/2020,Cabbage,Colombo,267.3
7/2/2020,Knol-Khol,Colombo,239.16
7/2/2020,Pumpkin,Colombo,213.94
7/2/2020,Onion,Colombo,362.67
7/2/2020,Potato,Colombo,208.39
7/2/2020,Drumsticks,Colombo,242.19
7/2/2020,Jackfruit,Colombo,279.62
7/2/2020,Breadfruit,Colombo,95.26
7/2/2020,Taro,Colombo,285.08
7/2/2020,Manioc,Colombo,132.29
7/9/2020,Winged Bean,Colombo,451.17
7/9/2020,Bitter Melon,Colombo,213.12
7/9/2020,Brinjal,Colombo,459.97
7/9/2020,Long Purple Eggplant,Colombo,335.72
7/9/2020,Asiatic Pennywort,Colombo,275.8
7/9/2020,Red Spinach,Colombo,92.44
7/9/2020,Pennywort,Colombo,470.05
7/9/2020,Leeks,Colombo,440
7/9/2020,Carrot,Colombo,431.44
7/9/2020,Beetroot,Colombo,455.16
7/9/2020,Cabbage,Colombo,234.43
7/9/2020,Knol-Khol,Colombo,131.63
7/9/2020,Pumpkin,Colombo,480.65
7/9/2020,Onion,Colombo,110.37
7/9/2020,Potato,Colombo,295.51
7/9/2020,Drumsticks,Colombo,462.72
7/9/2020,Jackfruit,Colombo,76.77
7/9/2020,Breadfruit,Colombo,84.59
7/9/2020,Taro,Colombo,483.86
7/9/2020,Manioc,Colombo,478.34
7/16/2020,Winged Bean,Colombo,215.64
7/16/2020,Bitter Melon,Colombo,301.63
7/16/2020,Brinjal,Colombo,440.91
7/16/2020,Long Purple Eggplant,Colombo,378.4
7/16/2020,Asiatic Pennywort,Colombo,286.41
7/16/2020,Red Spinach,Colombo,222.48
7/16/2020,Pennywort,Colombo,419.33
7/16/2020,Leeks,Colombo,454.56
7/16/2020,Carrot,Colombo,333.41
7/16/2020,Beetroot,Colombo,150.08
7/16/2020,Cabbage,Colombo,389.14
7/16/2020,Knol-Khol,Colombo,240.6
7/16/2020,Pumpkin,Colombo,277.12
7/16/2020,Onion,Colombo,368.55
7/16/2020,Potato,Colombo,184.21
7/16/2020,Drumsticks,Colombo,303.82
7/16/2020,Jackfruit,Colombo,428.78
7/16/2020,Breadfruit,Colombo,84.77
7/16/2020,Taro,Colombo,81.59
7/16/2020,Manioc,Colombo,488.52
7/23/2020,Winged Bean,Colombo,304.45
7/23/2020,Bitter Melon,Colombo,217.87
7/23/2020,Brinjal,Colombo,279.12
7/23/2020,Long Purple Eggplant,Colombo,257.75
7/23/2020,Asiatic Pennywort,Colombo,454.1
7/23/2020,Red Spinach,Colombo,64.17
7/23/2020,Pennywort,Colombo,388.33
7/23/2020,Leeks,Colombo,117.55
7/23/2020,Carrot,Colombo,229.41
7/23/2020,Beetroot,Colombo,101.11
7/23/2020,Cabbage,Colombo,411.84
7/23/2020,Knol-Khol,Colombo,233.44
7/23/2020,Pumpkin,Colombo,430.26
7/23/2020,Onion,Colombo,480.88
7/23/2020,Potato,Colombo,252.59
7/23/2020,Drumsticks,Colombo,473.93
7/23/2020,Jackfruit,Colombo,372.19
7/23/2020,Breadfruit,Colombo,198.53
7/23/2020,Taro,Colombo,176.14
7/23/2020,Manioc,Colombo,105.96
7/30/2020,Winged Bean,Colombo,141.41
7/30/2020,Bitter Melon,Colombo,61.97
7/30/2020,Brinjal,Colombo,421.08
7/30/2020,Long Purple Eggplant,Colombo,137.24
7/30/2020,Asiatic Pennywort,Colombo,129.38
7/30/2020,Red Spinach,Colombo,482.3
7/30/2020,Pennywort,Colombo,457.75
7/30/2020,Leeks,Colombo,313.13
7/30/2020,Carrot,Colombo,133.57
7/30/2020,Beetroot,Colombo,54.4
7/30/2020,Cabbage,Colombo,84.21
7/30/2020,Knol-Khol,Colombo,361.23
7/30/2020,Pumpkin,Colombo,257.09
7/30/2020,Onion,Colombo,356.51
7/30/2020,Potato,Colombo,366.58
7/30/2020,Drumsticks,Colombo,373.91
7/30/2020,Jackfruit,Colombo,193.57
7/30/2020,Breadfruit,Colombo,94.45
7/30/2020,Taro,Colombo,72.6
7/30/2020,Manioc,Colombo,284.49
8/6/2020,Winged Bean,Colombo,89.02
8/6/2020,Bitter Melon,Colombo,472.16
8/6/2020,Brinjal,Colombo,313.84
8/6/2020,Long Purple Eggplant,Colombo,199.86
8/6/2020,Asiatic Pennywort,Colombo,403.04
8/6/2020,Red Spinach,Colombo,354.22
8/6/2020,Pennywort,Colombo,447.84
8/6/2020,Leeks,Colombo,63.41
8/6/2020,Carrot,Colombo,385.47
8/6/2020,Beetroot,Colombo,332.35
8/6/2020,Cabbage,Colombo,378.42
8/6/2020,Knol-Khol,Colombo,203.02
8/6/2020,Pumpkin,Colombo,432.13
8/6/2020,Onion,Colombo,308.92
8/6/2020,Potato,Colombo,88.75
8/6/2020,Drumsticks,Colombo,161.72
8/6/2020,Jackfruit,Colombo,379.87
8/6/2020,Breadfruit,Colombo,314.01
8/6/2020,Taro,Colombo,99.47
8/6/2020,Manioc,Colombo,430.35
8/13/2020,Winged Bean,Colombo,371.1
8/13/2020,Bitter Melon,Colombo,132.15
8/13/2020,Brinjal,Colombo,345.72
8/13/2020,Long Purple Eggplant,Colombo,119
8/13/2020,Asiatic Pennywort,Colombo,91.35
8/13/2020,Red Spinach,Colombo,183.65
8/13/2020,Pennywort,Colombo,374.26
8/13/2020,Leeks,Colombo,264.93
8/13/2020,Carrot,Colombo,80.3
8/13/2020,Beetroot,Colombo,201.51
8/13/2020,Cabbage,Colombo,252.15
8/13/2020,Knol-Khol,Colombo,442.18
8/13/2020,Pumpkin,Colombo,447.29
8/13/2020,Onion,Colombo,320.64
8/13/2020,Potato,Colombo,468.89
8/13/2020,Drumsticks,Colombo,140.93
8/13/2020,Jackfruit,Colombo,402.24
8/13/2020,Breadfruit,Colombo,251.11
8/13/2020,Taro,Colombo,271.46
8/13/2020,Manioc,Colombo,306.52
8/20/2020,Winged Bean,Colombo,198.71
8/20/2020,Bitter Melon,Colombo,268.61
8/20/2020,Brinjal,Colombo,168.01
8/20/2020,Long Purple Eggplant,Colombo,342.8
8/20/2020,Asiatic Pennywort,Colombo,446.67
8/20/2020,Red Spinach,Colombo,197.74
8/20/2020,Pennywort,Colombo,111.21
8/20/2020,Leeks,Colombo,249.3
8/20/2020,Carrot,Colombo,201.46
8/20/2020,Beetroot,Colombo,87.88
8/20/2020,Cabbage,Colombo,331.58
8/20/2020,Knol-Khol,Colombo,210.04
8/20/2020,Pumpkin,Colombo,151.63
8/20/2020,Onion,Colombo,261.12
8/20/2020,Potato,Colombo,273
8/20/2020,Drumsticks,Colombo,274.76
8/20/2020,Jackfruit,Colombo,352.11
8/20/2020,Breadfruit,Colombo,92.89
8/20/2020,Taro,Colombo,262.45
8/20/2020,Manioc,Colombo,475.11
8/27/2020,Winged Bean,Colombo,192.98
8/27/2020,Bitter Melon,Colombo,402.29
8/27/2020,Brinjal,Colombo,389.34
8/27/2020,Long Purple Eggplant,Colombo,434.49
8/27/2020,Asiatic Pennywort,Colombo,257
8/27/2020,Red Spinach,Colombo,422.84
8/27/2020,Pennywort,Colombo,140.41
8/27/2020,Leeks,Colombo,434.14
8/27/2020,Carrot,Colombo,391.58
8/27/2020,Beetroot,Colombo,498.85
8/27/2020,Cabbage,Colombo,108.77
8/27/2020,Knol-Khol,Colombo,109.61
8/27/2020,Pumpkin,Colombo,301.82
8/27/2020,Onion,Colombo,432.77
8/27/2020,Potato,Colombo,390.28
8/27/2020,Drumsticks,Colombo,382.77
8/27/2020,Jackfruit,Colombo,341.05
8/27/2020,Breadfruit,Colombo,51.24
8/27/2020,Taro,Colombo,160.83
8/27/2020,Manioc,Colombo,147.44
9/3/2020,Winged Bean,Colombo,195.32
9/3/2020,Bitter Melon,Colombo,336.02
9/3/2020,Brinjal,Colombo,150.7
9/3/2020,Long Purple Eggplant,Colombo,232.92
9/3/2020,Asiatic Pennywort,Colombo,317.11
9/3/2020,Red Spinach,Colombo,358.93
9/3/2020,Pennywort,Colombo,186.78
9/3/2020,Leeks,Colombo,104.8
9/3/2020,Carrot,Colombo,496.24
9/3/2020,Beetroot,Colombo,473.19
9/3/2020,Cabbage,Colombo,122.53
9/3/2020,Knol-Khol,Colombo,407.82
9/3/2020,Pumpkin,Colombo,146.96
9/3/2020,Onion,Colombo,218.61
9/3/2020,Potato,Colombo,226.74
9/3/2020,Drumsticks,Colombo,477.69
9/3/2020,Jackfruit,Colombo,378.81
9/3/2020,Breadfruit,Colombo,359.63
9/3/2020,Taro,Colombo,272.97
9/3/2020,Manioc,Colombo,298.72
9/10/2020,Winged Bean,Colombo,71.07
9/10/2020,Bitter Melon,Colombo,216.32
9/10/2020,Brinjal,Colombo,152.53
9/10/2020,Long Purple Eggplant,Colombo,171.8
9/10/2020,Asiatic Pennywort,Colombo,417.64
9/10/2020,Red Spinach,Colombo,111.08
9/10/2020,Pennywort,Colombo,486.49
9/10/2020,Leeks,Colombo,124.35
9/10/2020,Carrot,Colombo,380.85
9/10/2020,Beetroot,Colombo,208.3
9/10/2020,Cabbage,Colombo,110.68
9/10/2020,Knol-Khol,Colombo,392.48
9/10/2020,Pumpkin,Colombo,55.92
9/10/2020,Onion,Colombo,294.73
9/10/2020,Potato,Colombo,219.18
9/10/2020,Drumsticks,Colombo,406.94
9/10/2020,Jackfruit,Colombo,346.82
9/10/2020,Breadfruit,Colombo,371.69
